title,dev,pub,plat,date_release,date_certainty,date_fiction,film_relationship,canon_ish,jedi,film_chars,multiplayer,screen,screen_source,screen_source_path,screen_contributed,article_anchor
Star Wars: The Empire Strikes Back,Parker Brothers,Parker Brothers,"Atari,Intellivision",01-01-1982,FALSE,Empire,adaptation,TRUE,FALSE,FALSE,single,star-wars-the-empire-strikes-back-atari-2600.gif,MobyGames,http://www.mobygames.com/game/atari-2600/star-wars-the-empire-strikes-back_/screenshots,Cheeseness,
Star Wars: Jedi Arena,Parker Brothers,Parker Brothers,Atari,02-01-1983,FALSE,Unknown,independent,FALSE,TRUE,FALSE,multi,star-wars-jedi-arena-atari-2600.gif,MobyGames,http://www.mobygames.com/game/atari-2600/star-wars-jedi-arena/screenshots,Cheeseness,
Star Wars/Star Wars: The Arcade Game,Atari,Atari,"Arcade cabinet,Atari,Amiga,Amstrad,BBC Micro,DOS,Electron,GameCube,Macintosh,Spectrum,ColecoVision,C64,NEC PC,Sharp X68000",03-01-1983,FALSE,ANH,adaptation,FALSE,FALSE,TRUE,single,star-wars-amiga.png,,,Cheeseness,star-wars-the-arcade-game
Star Wars: Return of the Jedi - Death Star Battle,Parker Brothers,Parker Brothers,Atari,04-01-1983,FALSE,Jedi,adaptation,TRUE,FALSE,TRUE,single,star-wars-return-of-the-jedi-death-star-battle-atari-2600.gif,MobyGames,http://www.mobygames.com/game/star-wars-return-of-the-jedi-death-star-battle/screenshots,Cheeseness,
Star Wars: Return of the Jedi,Atari,Atari,"Arcade cabinet,Amiga,Amstrad,Atari,BBC Micro,C64,Spectrum",01-01-1984,FALSE,Jedi,adaptation,TRUE,FALSE,TRUE,single,star-wars-return-of-the-jedi-arcade-screenshot-level-1.png,MobyGames,http://www.mobygames.com/game/star-wars-return-of-the-jedi/screenshots,Cheeseness,star-wars-return-of-the-jedi
Star Wars: The Empire Strikes Back,Atari,Atari,"Arcade cabinet,Amiga,Amstrad,Atari,BBC Micro,C64,Spectrum",01-01-1985,FALSE,Empire,adaptation,TRUE,FALSE,TRUE,single,empire-strikes-back-amiga4.png,,,Cheeseness,star-wars-the-empire-strikes-back
Star Wars,Namco,Namco,NES,04-12-1987,TRUE,ANH,adaptation,FALSE,TRUE,TRUE,single,star-wars-famicon.png,MobyGames,http://www.mobygames.com/game/nes/star-wars__/screenshots,Cheeseness,
Star Wars: Droids,Binary Design,Mastertronic,"Amstrad,C64,Spectrum",01-01-1988,FALSE,Droids,adaptation,TRUE,FALSE,TRUE,single,star-wars-droids-commodore-64.png,MobyGames,http://www.mobygames.com/game/star-wars-droids/screenshots,Cheeseness,
Star Wars,Beam Software,"JVC,LucasArts","NES,Game Boy,Game Gear,SEGA Master System",01-11-1991,FALSE,ANH,adaptation,FALSE,TRUE,TRUE,single,star-wars-nes.png,MobyGames,http://www.mobygames.com/game/star-wars_/screenshots,Cheeseness,
Star Wars: Attack on the Death Star,M. N. M. Software,"JVC,LucasArts","NEC,Sharp X68000",13-12-1991,TRUE,ANH,adaptation,TRUE,FALSE,TRUE,single,star-wars-attack-on-the-death-star-sharp-x68000.png,MobyGames,http://www.mobygames.com/game/star-wars-attack-on-the-death-star/screenshots,Cheeseness,
The Empire Strikes Back,Sculptured,"JVC,LucasArts","NES,Game Boy",01-03-1992,FALSE,Empire,adaptation,FALSE,TRUE,TRUE,single,star-wars-the-empire-strikes-back-nes.gif,MobyGames,http://www.mobygames.com/game/star-wars-the-empire-strikes-back/screenshots,Cheeseness,
Super Star Wars,Sculptured,"JVC,LucasArts","SNES,Wii Virtual Console,PS4,PS Vita",01-11-1992,TRUE,ANH,adaptation,FALSE,TRUE,TRUE,single,super-star-wars-snes.png,MobyGames,http://www.mobygames.com/game/super-star-wars/screenshots,Cheeseness,
Star Wars Chess,Software Toolworks,LucasArts,"DOS,SEGA CD,Windows",01-01-1993,FALSE,Unknown,independent,FALSE,TRUE,TRUE,"single, multi",star-wars-chess-dos.png,MobyGames,http://www.mobygames.com/game/software-toolworks-star-wars-chess/screenshots,Cheeseness,
Star Wars: X-Wing,TotallyGames,LucasArts,"DOS,Mac,Linux,Windows ",01-02-1993,FALSE,ANH,intersects,TRUE,FALSE,TRUE,single,star-wars-x-wing-dos.gif,MobyGames,http://www.mobygames.com/game/dos/star-wars-x-wing/screenshots,Cheeseness,star-wars-x-wing
Super Star Wars: The Empire Strikes Back,Sculptured,"JVC,LucasArts","SNES,Wii Virtual Console",01-06-1993,TRUE,Empire,adaptation,FALSE,TRUE,TRUE,single,super-star-wars-the-empire-strikes-back-snes.png,MobyGames,http://www.mobygames.com/game/super-star-wars-the-empire-strikes-back/screenshots,Cheeseness,
Star Wars: Rebel Assault,LucasArts,LucasArts,"DOS,SEGA CD,Mac,3DO,Linux,Windows",01-11-1993,FALSE,"ANH,Empire",intersects,FALSE,FALSE,TRUE,single,star-wars-rebel-assault-dos.gif,MobyGames,http://www.mobygames.com/game/star-wars-rebel-assault/screenshots,Cheeseness,star-wars-rebel-assault
